Unix Timestamp (UTC),Degrees (°C)
1579046400106,23.371000
1579046401106,23.371000
1579046402106,23.371000
1579046403106,23.371000
1579046404106,23.342000
1579046405106,23.371000
1579046406105,23.371000
1579046407105,23.371000
1579046408105,23.371000
1579046409105,23.371000
1579046410105,23.371000
1579046411105,23.371000
1579046412105,23.371000
1579046413105,23.371000
1579046414104,23.371000
1579046415104,23.371000
1579046416104,23.371000
1579046417104,23.342000
1579046418104,23.371000
1579046419104,23.342000
1579046420104,23.342000
1579046421103,23.342000
1579046422103,23.371000
1579046423103,23.371000
1579046424103,23.371000
1579046425103,23.342000
1579046426103,23.371000
1579046427103,23.342000
1579046428103,23.371000
1579046429102,23.371000
1579046430102,23.342000
1579046431102,23.342000
1579046432102,23.371000
1579046433102,23.371000
1579046434102,23.371000
1579046435102,23.371000
1579046436102,23.371000
1579046437101,23.371000
1579046438101,23.371000
1579046439101,23.371000
1579046440101,23.342000
1579046441101,23.371000
1579046442101,23.371000
1579046443101,23.371000
1579046444100,23.371000
1579046445100,23.371000
1579046446100,23.371000
1579046447100,23.371000
1579046448100,23.371000
1579046449100,23.371000
1579046450100,23.371000
1579046451100,23.342000
1579046452099,23.371000
1579046453099,23.371000
1579046454099,23.371000
1579046455099,23.371000
1579046456099,23.371000
1579046457099,23.371000
1579046458099,23.371000
1579046459099,23.371000
1579046460098,23.371000
1579046461098,23.371000
1579046462098,23.371000
1579046463098,23.371000
1579046464098,23.342000
1579046465098,23.342000
1579046466098,23.342000
1579046467097,23.371000
1579046468097,23.371000
1579046469097,23.371000
1579046470097,23.371000
1579046471097,23.371000
1579046472097,23.371000
1579046473097,23.371000
1579046474097,23.371000
1579046475096,23.371000
1579046476096,23.371000
1579046477096,23.371000
1579046478096,23.371000
1579046479096,23.371000
1579046480096,23.371000
1579046481096,23.371000
1579046482096,23.371000
1579046483095,23.371000
1579046484095,23.371000
1579046485095,23.371000
1579046486095,23.371000
1579046487095,23.371000
1579046488095,23.371000
1579046489095,23.371000
1579046490094,23.400000
1579046491094,23.371000
1579046492094,23.371000
1579046493094,23.371000
1579046494094,23.400000
1579046495094,23.371000
1579046496094,23.371000
1579046497094,23.371000
1579046498093,23.371000
1579046499093,23.371000
1579046500093,23.371000
1579046501093,23.400000
1579046502093,23.371000
1579046503093,23.371000
1579046504093,23.371000
1579046505093,23.371000
1579046506092,23.371000
1579046507092,23.371000
1579046508092,23.371000
1579046509092,23.371000
1579046510092,23.400000
1579046511092,23.371000
1579046512091,23.371000
1579046513091,23.400000
1579046514091,23.371000
1579046515091,23.371000
1579046516091,23.371000
1579046517091,23.371000
1579046518091,23.371000
1579046519090,23.371000
1579046520090,23.400000
1579046521090,23.371000
1579046522090,23.371000
1579046523090,23.400000
1579046524090,23.400000
1579046525089,23.371000
1579046526089,23.371000
1579046527089,23.371000
1579046528089,23.400000
1579046529089,23.371000
1579046530089,23.400000
1579046531089,23.400000
1579046532088,23.371000
1579046533088,23.400000
1579046534088,23.400000
1579046535088,23.400000
1579046536088,23.400000
1579046537088,23.400000
